utctimestamp,hugepages_used_pct,hugepages_used_bytes,hugepages_total,hugepages_reserved,hugepages_swap_out_fallback,hugepages_swap_out_pages,hugepages_free,hugepages_surplus,hugepages_default_size,used_pct,used_bytes,total,swap_used_pct,swap_used_bytes,swap_in_pages,swap_total,swap_readahead_pages,swap_readahead_cached,swap_free,swap_out_pages,page_stats_pgscan_direct_pages,page_stats_pgscan_kswapd_pages,page_stats_direct_efficiency_pct,page_stats_pgsteal_kswapd_pages,page_stats_pgfree_pages,page_stats_kswapd_efficiency_pct,page_stats_pgsteal_direct_pages,free,actual_free,actual_used_pct,actual_used_bytes,severity
2022-06-01 12:30:32.758271+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639644,0.8881,129700,93949952,589099008,0.4274,439746560,INFO
2022-06-01 12:30:48.233920+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639713,0.8881,129700,93949952,589103104,0.4274,439742464,INFO
2022-06-01 12:31:02.785573+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639814,0.8881,129700,93917184,589070336,0.4274,439775232,INFO
2022-06-01 12:31:18.225618+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639886,0.8881,129700,93917184,589697024,0.4268,439148544,INFO
2022-06-01 12:31:32.751902+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639996,0.8881,129700,93917184,589701120,0.4268,439144448,INFO
2022-06-01 12:31:48.222752+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640064,0.8881,129700,93917184,589717504,0.4268,439128064,INFO
2022-06-01 12:32:02.751923+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640174,0.8881,129700,93949952,589754368,0.4268,439091200,INFO
2022-06-01 12:32:18.239492+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640235,0.8881,129700,93917184,589729792,0.4268,439115776,INFO
2022-06-01 12:32:32.760350+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640346,0.8881,129700,93917184,589737984,0.4268,439107584,INFO
2022-06-01 12:32:48.230117+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640416,0.8881,129700,93917184,589754368,0.4268,439091200,INFO
2022-06-01 12:33:02.748936+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640527,0.8881,129700,93949952,589787136,0.4267,439058432,INFO
2022-06-01 12:33:18.224859+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640601,0.8881,129700,93949952,589787136,0.4267,439058432,INFO
2022-06-01 12:33:32.745792+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640707,0.8881,129700,93917184,589758464,0.4268,439087104,INFO
2022-06-01 12:33:48.221266+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640778,0.8881,129700,93917184,589758464,0.4268,439087104,INFO
2022-06-01 12:34:02.747369+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640888,0.8881,129700,93917184,589774848,0.4268,439070720,INFO
2022-06-01 12:34:18.227297+00:00,0,0,0,0,0,0,0,0,2097152,0.9089,935153664,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42640955,0.8881,129700,93691904,589549568,0.427,439296000,INFO
2022-06-01 12:34:32.758357+00:00,0,0,0,0,0,0,0,0,2097152,0.909,935186432,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42641056,0.8881,129700,93659136,589541376,0.427,439304192,INFO
2022-06-01 12:34:48.228108+00:00,0,0,0,0,0,0,0,0,2097152,0.909,935186432,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42641125,0.8881,129700,93659136,589545472,0.427,439300096,INFO
2022-06-01 12:35:02.787694+00:00,0,0,0,0,0,0,0,0,2097152,0.909,935186432,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42641234,0.8881,129700,93659136,589545472,0.427,439300096,INFO
2022-06-01 12:35:18.230074+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644178,0.8881,129700,98578432,594857984,0.4218,433987584,INFO
2022-06-01 12:35:32.738446+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644288,0.8881,129700,98578432,594878464,0.4218,433967104,INFO
2022-06-01 12:35:48.222041+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930234368,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644356,0.8881,129700,98611200,594911232,0.4218,433934336,INFO
2022-06-01 12:36:02.735797+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644458,0.8881,129700,98578432,594878464,0.4218,433967104,INFO
2022-06-01 12:36:18.219121+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644527,0.8881,129700,98578432,594886656,0.4218,433958912,INFO
2022-06-01 12:36:32.754058+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644637,0.8881,129700,98578432,594898944,0.4218,433946624,INFO
2022-06-01 12:36:48.215467+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930234368,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644705,0.8881,129700,98611200,594931712,0.4217,433913856,INFO
2022-06-01 12:37:02.742043+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644807,0.8881,129700,98578432,594903040,0.4218,433942528,INFO
2022-06-01 12:37:18.293983+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42644881,0.8881,129700,98578432,594907136,0.4218,433938432,INFO
2022-06-01 12:37:32.751327+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42645245,0.8881,129700,98578432,594911232,0.4218,433934336,INFO
2022-06-01 12:37:48.217430+00:00,0,0,0,0,0,0,0,0,2097152,0.9042,930267136,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42645316,0.8881,129700,98578432,594915328,0.4218,433930240,INFO
